#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
6281265;05/05/2020 21:10:51;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6281273;05/05/2020 21:10:51;IRP_MJ_WRITE;DOWN;;9f ;"ü";1;1;COM3;;
6281281;05/05/2020 21:10:51;IRP_MJ_WRITE;DOWN;;36 ;"6";1;1;COM3;;
6281293;05/05/2020 21:10:51;IRP_MJ_WRITE;DOWN;;1d ;".";1;1;COM3;;
6281308;05/05/2020 21:10:51;IRP_MJ_WRITE;DOWN;;0d ;".";1;1;COM3;;
6281317;05/05/2020 21:10:51;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6281329;05/05/2020 21:10:51;IRP_MJ_WRITE;DOWN;;9f ;"ü";1;1;COM3;;
6281341;05/05/2020 21:10:51;IRP_MJ_WRITE;DOWN;;37 ;"7";1;1;COM3;;
6281356;05/05/2020 21:10:51;IRP_MJ_WRITE;DOWN;;1c ;".";1;1;COM3;;
6281367;05/05/2020 21:10:51;IRP_MJ_WRITE;DOWN;;0d ;".";1;1;COM3;;
6281380;05/05/2020 21:10:51;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6281392;05/05/2020 21:10:51;IRP_MJ_WRITE;DOWN;;9f ;"ü";1;1;COM3;;
6281401;05/05/2020 21:10:51;IRP_MJ_WRITE;DOWN;;38 ;"8";1;1;COM3;;
6281413;05/05/2020 21:10:51;IRP_MJ_WRITE;DOWN;;1b ;".";1;1;COM3;;
6281428;05/05/2020 21:10:51;IRP_MJ_WRITE;DOWN;;0d ;".";1;1;COM3;;
6281437;05/05/2020 21:10:51;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6281452;05/05/2020 21:10:51;IRP_MJ_WRITE;DOWN;;9f ;"ü";1;1;COM3;;
6281464;05/05/2020 21:10:51;IRP_MJ_WRITE;DOWN;;39 ;"9";1;1;COM3;;
6281476;05/05/2020 21:10:51;IRP_MJ_WRITE;DOWN;;1a ;".";1;1;COM3;;
6281485;05/05/2020 21:10:51;IRP_MJ_WRITE;DOWN;;0d ;".";1;1;COM3;;
6281542;05/05/2020 21:10:52;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6281552;05/05/2020 21:10:52;IRP_MJ_WRITE;DOWN;;9f ;"ü";1;1;COM3;;
6281566;05/05/2020 21:10:52;IRP_MJ_WRITE;DOWN;;36 ;"6";1;1;COM3;;
6281578;05/05/2020 21:10:52;IRP_MJ_WRITE;DOWN;;1d ;".";1;1;COM3;;
6281590;05/05/2020 21:10:52;IRP_MJ_WRITE;DOWN;;0d ;".";1;1;COM3;;
6281602;05/05/2020 21:10:52;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6281614;05/05/2020 21:10:52;IRP_MJ_WRITE;DOWN;;9f ;"ü";1;1;COM3;;
6281626;05/05/2020 21:10:52;IRP_MJ_WRITE;DOWN;;37 ;"7";1;1;COM3;;
6281638;05/05/2020 21:10:52;IRP_MJ_WRITE;DOWN;;1c ;".";1;1;COM3;;
6281650;05/05/2020 21:10:52;IRP_MJ_WRITE;DOWN;;0d ;".";1;1;COM3;;
6281662;05/05/2020 21:10:52;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6281674;05/05/2020 21:10:52;IRP_MJ_WRITE;DOWN;;9f ;"ü";1;1;COM3;;
6281686;05/05/2020 21:10:52;IRP_MJ_WRITE;DOWN;;38 ;"8";1;1;COM3;;
6281698;05/05/2020 21:10:52;IRP_MJ_WRITE;DOWN;;1b ;".";1;1;COM3;;
6281710;05/05/2020 21:10:52;IRP_MJ_WRITE;DOWN;;0d ;".";1;1;COM3;;
6281722;05/05/2020 21:10:52;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6281731;05/05/2020 21:10:52;IRP_MJ_WRITE;DOWN;;9f ;"ü";1;1;COM3;;
6281743;05/05/2020 21:10:52;IRP_MJ_WRITE;DOWN;;39 ;"9";1;1;COM3;;
6281755;05/05/2020 21:10:52;IRP_MJ_WRITE;DOWN;;1a ;".";1;1;COM3;;
6281767;05/05/2020 21:10:52;IRP_MJ_WRITE;DOWN;;0d ;".";1;1;COM3;;
6281825;05/05/2020 21:10:53;IRP_MJ_CLOSE;DOWN;;;"";;;COM3;;
6281827;05/05/2020 21:10:53;IRP_MJ_CREATE;DOWN;;;"D:\Program Files (x86)\C-Mexx Software\THE VISUALIZER\The Visualizer 02RPatched.exe";;;COM3;;
6281878;05/05/2020 21:10:54;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6281887;05/05/2020 21:10:54;IRP_MJ_WRITE;DOWN;;9f ;"ü";1;1;COM3;;
6281895;05/05/2020 21:10:54;IRP_MJ_WRITE;DOWN;;36 ;"6";1;1;COM3;;
6281907;05/05/2020 21:10:54;IRP_MJ_WRITE;DOWN;;1d ;".";1;1;COM3;;
6281922;05/05/2020 21:10:54;IRP_MJ_WRITE;DOWN;;0d ;".";1;1;COM3;;
6281934;05/05/2020 21:10:54;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6281946;05/05/2020 21:10:54;IRP_MJ_WRITE;DOWN;;9f ;"ü";1;1;COM3;;
6281955;05/05/2020 21:10:54;IRP_MJ_WRITE;DOWN;;37 ;"7";1;1;COM3;;
6281970;05/05/2020 21:10:54;IRP_MJ_WRITE;DOWN;;1c ;".";1;1;COM3;;
6281982;05/05/2020 21:10:54;IRP_MJ_WRITE;DOWN;;0d ;".";1;1;COM3;;
6281991;05/05/2020 21:10:54;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6282003;05/05/2020 21:10:54;IRP_MJ_WRITE;DOWN;;9f ;"ü";1;1;COM3;;
6282018;05/05/2020 21:10:54;IRP_MJ_WRITE;DOWN;;38 ;"8";1;1;COM3;;
6282030;05/05/2020 21:10:54;IRP_MJ_WRITE;DOWN;;1b ;".";1;1;COM3;;
6282039;05/05/2020 21:10:54;IRP_MJ_WRITE;DOWN;;0d ;".";1;1;COM3;;
6282050;05/05/2020 21:10:54;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6282062;05/05/2020 21:10:54;IRP_MJ_WRITE;DOWN;;9f ;"ü";1;1;COM3;;
6282074;05/05/2020 21:10:54;IRP_MJ_WRITE;DOWN;;39 ;"9";1;1;COM3;;
6282086;05/05/2020 21:10:54;IRP_MJ_WRITE;DOWN;;1a ;".";1;1;COM3;;
