#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
6678416;05/05/2020 21:20:15;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6678428;05/05/2020 21:20:15;IRP_MJ_WRITE;DOWN;;18 ;".";1;1;COM3;;
6678437;05/05/2020 21:20:15;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6678449;05/05/2020 21:20:15;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6678457;05/05/2020 21:20:15;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6678468;05/05/2020 21:20:15;IRP_MJ_WRITE;DOWN;;e7 ;"ç";1;1;COM3;;
6678480;05/05/2020 21:20:15;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6678492;05/05/2020 21:20:15;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6678504;05/05/2020 21:20:15;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6678516;05/05/2020 21:20:15;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6678528;05/05/2020 21:20:15;IRP_MJ_WRITE;DOWN;;65 ;"e";1;1;COM3;;
6678780;05/05/2020 21:20:15;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6678791;05/05/2020 21:20:15;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6678804;05/05/2020 21:20:15;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6678814;05/05/2020 21:20:15;IRP_MJ_WRITE;DOWN;;01 ;".";1;1;COM3;;
6678828;05/05/2020 21:20:15;IRP_MJ_WRITE;DOWN;;64 ;"d";1;1;COM3;;
6679172;05/05/2020 21:20:15;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6679184;05/05/2020 21:20:15;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6679196;05/05/2020 21:20:15;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6679208;05/05/2020 21:20:15;IRP_MJ_WRITE;DOWN;;02 ;".";1;1;COM3;;
6679220;05/05/2020 21:20:15;IRP_MJ_WRITE;DOWN;;63 ;"c";1;1;COM3;;
6679774;05/05/2020 21:20:15;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6679785;05/05/2020 21:20:15;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6679798;05/05/2020 21:20:15;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6679809;05/05/2020 21:20:15;IRP_MJ_WRITE;DOWN;;03 ;".";1;1;COM3;;
6679822;05/05/2020 21:20:15;IRP_MJ_WRITE;DOWN;;62 ;"b";1;1;COM3;;
6680236;05/05/2020 21:20:16;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6680248;05/05/2020 21:20:16;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6680260;05/05/2020 21:20:16;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6680272;05/05/2020 21:20:16;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6680284;05/05/2020 21:20:16;IRP_MJ_WRITE;DOWN;;61 ;"a";1;1;COM3;;
6680628;05/05/2020 21:20:16;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6680640;05/05/2020 21:20:16;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6680652;05/05/2020 21:20:16;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6680664;05/05/2020 21:20:16;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6680676;05/05/2020 21:20:16;IRP_MJ_WRITE;DOWN;;60 ;"`";1;1;COM3;;
6681006;05/05/2020 21:20:16;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6681015;05/05/2020 21:20:16;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6681030;05/05/2020 21:20:16;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6681042;05/05/2020 21:20:16;IRP_MJ_WRITE;DOWN;;06 ;".";1;1;COM3;;
6681054;05/05/2020 21:20:16;IRP_MJ_WRITE;DOWN;;5f ;"_";1;1;COM3;;
6681370;05/05/2020 21:20:16;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6681382;05/05/2020 21:20:16;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6681393;05/05/2020 21:20:16;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6681406;05/05/2020 21:20:16;IRP_MJ_WRITE;DOWN;;07 ;".";1;1;COM3;;
6681418;05/05/2020 21:20:16;IRP_MJ_WRITE;DOWN;;5e ;"^";1;1;COM3;;
6681762;05/05/2020 21:20:16;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6681774;05/05/2020 21:20:16;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6681786;05/05/2020 21:20:16;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6681798;05/05/2020 21:20:16;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6681810;05/05/2020 21:20:16;IRP_MJ_WRITE;DOWN;;5d ;"]";1;1;COM3;;
6682154;05/05/2020 21:20:16;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6682166;05/05/2020 21:20:16;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6682178;05/05/2020 21:20:16;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6682190;05/05/2020 21:20:16;IRP_MJ_WRITE;DOWN;;09 ;".";1;1;COM3;;
6682202;05/05/2020 21:20:16;IRP_MJ_WRITE;DOWN;;5c ;"\";1;1;COM3;;
6682532;05/05/2020 21:20:16;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6682544;05/05/2020 21:20:16;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6682556;05/05/2020 21:20:16;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6682568;05/05/2020 21:20:16;IRP_MJ_WRITE;DOWN;;0a ;".";1;1;COM3;;
6682580;05/05/2020 21:20:16;IRP_MJ_WRITE;DOWN;;5b ;"[";1;1;COM3;;
6682910;05/05/2020 21:20:16;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6682922;05/05/2020 21:20:16;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6682934;05/05/2020 21:20:16;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6682946;05/05/2020 21:20:16;IRP_MJ_WRITE;DOWN;;0b ;".";1;1;COM3;;
6682958;05/05/2020 21:20:16;IRP_MJ_WRITE;DOWN;;5a ;"Z";1;1;COM3;;
6683274;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6683286;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6683298;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6683310;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;0c ;".";1;1;COM3;;
6683322;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;59 ;"Y";1;1;COM3;;
6683358;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6683370;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6683382;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6683394;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;0d ;".";1;1;COM3;;
6683406;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;58 ;"X";1;1;COM3;;
6683442;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6683451;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6683463;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6683475;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;0e ;".";1;1;COM3;;
6683487;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;57 ;"W";1;1;COM3;;
6683526;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6683538;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6683550;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6683562;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;0f ;".";1;1;COM3;;
6683574;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;56 ;"V";1;1;COM3;;
6683624;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6683636;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6683648;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6683660;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;10 ;".";1;1;COM3;;
6683672;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;55 ;"U";1;1;COM3;;
6683722;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6683734;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6683746;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6683758;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;11 ;".";1;1;COM3;;
6683770;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;54 ;"T";1;1;COM3;;
6683806;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6683818;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6683829;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6683842;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;12 ;".";1;1;COM3;;
6683854;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;53 ;"S";1;1;COM3;;
6683890;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6683902;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6683914;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6683926;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;13 ;".";1;1;COM3;;
6683938;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;52 ;"R";1;1;COM3;;
6683974;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6683986;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"’";1;1;COM3;;
6683998;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6684010;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;14 ;".";1;1;COM3;;
6684022;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;51 ;"Q";1;1;COM3;;
