#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
6678141;05/05/2020 21:19:55;IRP_MJ_READ;UP;STATUS_SUCCESS;00 ;".";1;;COM3;;
6678155;05/05/2020 21:19:56;IRP_MJ_READ;UP;STATUS_SUCCESS;00 ;".";1;;COM3;;
6678169;05/05/2020 21:19:57;IRP_MJ_READ;UP;STATUS_SUCCESS;00 ;".";1;;COM3;;
6678183;05/05/2020 21:19:58;IRP_MJ_READ;UP;STATUS_SUCCESS;00 ;".";1;;COM3;;
6678197;05/05/2020 21:19:59;IRP_MJ_READ;UP;STATUS_SUCCESS;00 ;".";1;;COM3;;
6678211;05/05/2020 21:20:00;IRP_MJ_READ;UP;STATUS_SUCCESS;00 ;".";1;;COM3;;
6678225;05/05/2020 21:20:01;IRP_MJ_READ;UP;STATUS_SUCCESS;00 ;".";1;;COM3;;
6678239;05/05/2020 21:20:02;IRP_MJ_READ;UP;STATUS_SUCCESS;00 ;".";1;;COM3;;
6678253;05/05/2020 21:20:03;IRP_MJ_READ;UP;STATUS_SUCCESS;00 ;".";1;;COM3;;
6678267;05/05/2020 21:20:04;IRP_MJ_READ;UP;STATUS_SUCCESS;00 ;".";1;;COM3;;
6678281;05/05/2020 21:20:05;IRP_MJ_READ;UP;STATUS_SUCCESS;00 ;".";1;;COM3;;
6678295;05/05/2020 21:20:06;IRP_MJ_READ;UP;STATUS_SUCCESS;00 ;".";1;;COM3;;
6678309;05/05/2020 21:20:07;IRP_MJ_READ;UP;STATUS_SUCCESS;00 ;".";1;;COM3;;
6678323;05/05/2020 21:20:08;IRP_MJ_READ;UP;STATUS_SUCCESS;00 ;".";1;;COM3;;
6678337;05/05/2020 21:20:09;IRP_MJ_READ;UP;STATUS_SUCCESS;00 ;".";1;;COM3;;
6678351;05/05/2020 21:20:10;IRP_MJ_READ;UP;STATUS_SUCCESS;00 ;".";1;;COM3;;
6678365;05/05/2020 21:20:11;IRP_MJ_READ;UP;STATUS_SUCCESS;00 ;".";1;;COM3;;
6678379;05/05/2020 21:20:12;IRP_MJ_READ;UP;STATUS_SUCCESS;00 ;".";1;;COM3;;
6678393;05/05/2020 21:20:13;IRP_MJ_READ;UP;STATUS_SUCCESS;00 ;".";1;;COM3;;
6678407;05/05/2020 21:20:14;IRP_MJ_READ;UP;STATUS_SUCCESS;00 ;".";1;;COM3;;
6678416;05/05/2020 21:20:15;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6678428;05/05/2020 21:20:15;IRP_MJ_WRITE;DOWN;;18 ;".";1;1;COM3;;
6678437;05/05/2020 21:20:15;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6678449;05/05/2020 21:20:15;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6678457;05/05/2020 21:20:15;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6678468;05/05/2020 21:20:15;IRP_MJ_WRITE;DOWN;;e7 ;"Á";1;1;COM3;;
6678480;05/05/2020 21:20:15;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6678492;05/05/2020 21:20:15;IRP_MJ_WRITE;DOWN;;92 ;"í";1;1;COM3;;
6678504;05/05/2020 21:20:15;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6678516;05/05/2020 21:20:15;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6678528;05/05/2020 21:20:15;IRP_MJ_WRITE;DOWN;;65 ;"e";1;1;COM3;;
6678563;05/05/2020 21:20:15;IRP_MJ_READ;UP;STATUS_SUCCESS;86 32 08 00 00 01 32 20 20 20 ;"Ü2....2   ";10;;COM3;;
6678577;05/05/2020 21:20:15;IRP_MJ_READ;UP;STATUS_SUCCESS;20 20 20 20 20 20 20 20 20 20 20 20 20 20 49 6e ;"              In";16;;COM3;;
6678591;05/05/2020 21:20:15;IRP_MJ_READ;UP;STATUS_SUCCESS;69 74 69 61 6c 20 44 61 74 61 20 20 00 00 0a ;"itial Data  ...";15;;COM3;;
6678605;05/05/2020 21:20:15;IRP_MJ_READ;UP;STATUS_SUCCESS;e0 00 82 53 75 a0 46 7f bf ee d9 cd 23 48 e5 2d ;"‡.ÇSu†FøÓŸÕ#HÂ-";16;;COM3;;
6678616;05/05/2020 21:20:15;IRP_MJ_READ;UP;STATUS_SUCCESS;14 f4 84 4d 54 b3 aa bc 03 53 d5 55 54 b9 71 e0 ;".ÙÑMT≥™º.S’UTπq‡";16;;COM3;;
6678633;05/05/2020 21:20:15;IRP_MJ_READ;UP;STATUS_SUCCESS;7a bb c2 bd c8 26 a2 aa a6 48 90 88 a5 b1 6d 69 ;"zª¬Ω»&¢™¶Hêà•±mi";16;;COM3;;
6678647;05/05/2020 21:20:15;IRP_MJ_READ;UP;STATUS_SUCCESS;12 22 8a 8a cb c7 be b5 b4 59 c8 f1 c4 9a 61 ;".""ääÀ«æµ¥Y»Òƒöa";15;;COM3;;
6678661;05/05/2020 21:20:15;IRP_MJ_READ;UP;STATUS_SUCCESS;9b 41 c5 24 ed 06 37 df 48 de 06 86 75 de 65 d2 ;"õA≈$Ì.7ﬂHﬁ.Üuﬁe“";16;;COM3;;
6678675;05/05/2020 21:20:15;IRP_MJ_READ;UP;STATUS_SUCCESS;95 ef 08 e8 f1 7d bb 1c 3a f9 bf 9a 6f 2f 62 ;"ïÔ.ËÒ}ª.:˘øöo/b";15;;COM3;;
6678689;05/05/2020 21:20:15;IRP_MJ_READ;UP;STATUS_SUCCESS;5e 32 08 00 01 01 cb 1f ;"^2....À.";8;;COM3;;
6678703;05/05/2020 21:20:15;IRP_MJ_READ;UP;STATUS_SUCCESS;25 d1 31 61 08 b1 04 98 c7 9c f7 3f f3 c7 1a 87 ;"%—1a.±.ò«ú˜?Û«.á";16;;COM3;;
6678717;05/05/2020 21:20:15;IRP_MJ_READ;UP;STATUS_SUCCESS;f9 e7 e3 68 b6 40 29 19 9b 5e 6d 35 f9 cc 0d ;"˘Á„h∂@).õ^m5˘Ã.";15;;COM3;;
6678731;05/05/2020 21:20:15;IRP_MJ_READ;UP;STATUS_SUCCESS;c5 45 f2 e3 5e f1 90 b1 3c e4 22 39 69 d6 6a 86 ;"≈EÚ„^Òê±<‰""9i÷jÜ";16;;COM3;;
6678745;05/05/2020 21:20:15;IRP_MJ_READ;UP;STATUS_SUCCESS;cb df 9b 21 2f 3f 59 55 e0 dd 9f db 38 8a 64 53 ;"Àﬂõ!/?YU‡›ü€8ädS";16;;COM3;;
6678759;05/05/2020 21:20:15;IRP_MJ_READ;UP;STATUS_SUCCESS;4c 8d 5f c1 df 5a c5 2d a5 e0 72 bd a8 d8 a4 26 ;"Lç_¡ﬂZ≈-•‡rΩ®ÿ§&";16;;COM3;;
6678773;05/05/2020 21:20:15;IRP_MJ_READ;UP;STATUS_SUCCESS;3a 15 ff e5 f4 00 00 a4 ;":.ˇÂÙ..§";8;;COM3;;
6678780;05/05/2020 21:20:15;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6678791;05/05/2020 21:20:15;IRP_MJ_WRITE;DOWN;;92 ;"í";1;1;COM3;;
6678804;05/05/2020 21:20:15;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6678814;05/05/2020 21:20:15;IRP_MJ_WRITE;DOWN;;01 ;".";1;1;COM3;;
6678828;05/05/2020 21:20:15;IRP_MJ_WRITE;DOWN;;64 ;"d";1;1;COM3;;
6678857;05/05/2020 21:20:15;IRP_MJ_READ;UP;STATUS_SUCCESS;86 32 08 01 00 02 32 20 20 20 20 20 20 20 ;"Ü2....2       ";14;;COM3;;
6678871;05/05/2020 21:20:15;IRP_MJ_READ;UP;STATUS_SUCCESS;20 20 20 20 20 20 20 20 54 68 6f 6d 61 73 20 53 ;"        Thomas S";16;;COM3;;
6678885;05/05/2020 21:20:15;IRP_MJ_READ;UP;STATUS_SUCCESS;54 55 44 49 4f 20 20 20 00 00 0a e0 00 be 5a 71 ;"TUDIO   ...‡.æZq";16;;COM3;;
6678899;05/05/2020 21:20:15;IRP_MJ_READ;UP;STATUS_SUCCESS;c3 56 d7 f7 ef 7b d6 dd 6a a6 be 33 9d 84 18 1a ;"√V◊˜Ô{÷›j¶æ3ùÑ..";16;;COM3;;
6678913;05/05/2020 21:20:15;IRP_MJ_READ;UP;STATUS_SUCCESS;02 26 0d 0f 48 d8 18 4c 86 02 51 80 c0 41 88 ;".&..Hÿ.LÜ.QÄ¿Aà";15;;COM3;;
