#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
6382362;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6382372;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;19 ;".";1;1;COM3;;
6382383;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;02 ;".";1;1;COM3;;
6382396;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;01 ;".";1;1;COM3;;
6382408;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;e3 ;"„";1;1;COM3;;
6382422;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6382434;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;19 ;".";1;1;COM3;;
6382446;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;02 ;".";1;1;COM3;;
6382458;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6382470;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;e4 ;"‰";1;1;COM3;;
6382502;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6382514;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6382526;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6382538;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;20 ;" ";1;1;COM3;;
6382550;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6382561;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;df ;"ﬂ";1;1;COM3;;
6382600;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6382611;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6382621;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6382633;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;20 ;" ";1;1;COM3;;
6382645;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;01 ;".";1;1;COM3;;
