#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
6372724;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6372735;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;19 ;".";1;1;COM3;;
6372748;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;ae ;"Æ";1;1;COM3;;
6372760;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;01 ;".";1;1;COM3;;
6372772;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;37 ;"7";1;1;COM3;;
6372784;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6372795;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;19 ;".";1;1;COM3;;
6372808;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;ae ;"Æ";1;1;COM3;;
6372820;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6372832;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;38 ;"8";1;1;COM3;;
6372864;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6372873;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6372885;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6372893;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;46 ;"F";1;1;COM3;;
6372908;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;01 ;".";1;1;COM3;;
6372920;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;b8 ;"∏";1;1;COM3;;
6372942;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6372954;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6372966;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6372978;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;46 ;"F";1;1;COM3;;
6372990;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;03 ;".";1;1;COM3;;
6373002;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;b6 ;"∂";1;1;COM3;;
6373026;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6373035;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6373050;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6373059;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;46 ;"F";1;1;COM3;;
6373073;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6373083;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;b5 ;"µ";1;1;COM3;;
6373110;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6373122;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6373134;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6373145;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;46 ;"F";1;1;COM3;;
