#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
6435366;05/05/2020 21:15:23;IRP_MJ_WRITE;DOWN;;03 ;".";1;1;COM3;;
6435378;05/05/2020 21:15:23;IRP_MJ_WRITE;DOWN;;90 ;"ê";1;1;COM3;;
6435387;05/05/2020 21:15:23;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6435402;05/05/2020 21:15:23;IRP_MJ_WRITE;DOWN;;6f ;"o";1;1;COM3;;
6444830;05/05/2020 21:15:52;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6444839;05/05/2020 21:15:52;IRP_MJ_WRITE;DOWN;;19 ;".";1;1;COM3;;
6444851;05/05/2020 21:15:52;IRP_MJ_WRITE;DOWN;;ba ;"∫";1;1;COM3;;
6444866;05/05/2020 21:15:52;IRP_MJ_WRITE;DOWN;;01 ;".";1;1;COM3;;
6444875;05/05/2020 21:15:52;IRP_MJ_WRITE;DOWN;;2b ;"+";1;1;COM3;;
6444886;05/05/2020 21:15:52;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6444898;05/05/2020 21:15:52;IRP_MJ_WRITE;DOWN;;19 ;".";1;1;COM3;;
6444910;05/05/2020 21:15:52;IRP_MJ_WRITE;DOWN;;ba ;"∫";1;1;COM3;;
6444922;05/05/2020 21:15:52;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6444934;05/05/2020 21:15:52;IRP_MJ_WRITE;DOWN;;2c ;",";1;1;COM3;;
6444978;05/05/2020 21:15:53;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6444987;05/05/2020 21:15:53;IRP_MJ_WRITE;DOWN;;19 ;".";1;1;COM3;;
6444999;05/05/2020 21:15:53;IRP_MJ_WRITE;DOWN;;aa ;"™";1;1;COM3;;
6445013;05/05/2020 21:15:53;IRP_MJ_WRITE;DOWN;;01 ;".";1;1;COM3;;
6445026;05/05/2020 21:15:53;IRP_MJ_WRITE;DOWN;;3b ;";";1;1;COM3;;
6445038;05/05/2020 21:15:53;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6445050;05/05/2020 21:15:53;IRP_MJ_WRITE;DOWN;;19 ;".";1;1;COM3;;
6445062;05/05/2020 21:15:53;IRP_MJ_WRITE;DOWN;;aa ;"™";1;1;COM3;;
6445074;05/05/2020 21:15:53;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6445083;05/05/2020 21:15:53;IRP_MJ_WRITE;DOWN;;3c ;"<";1;1;COM3;;
6445132;05/05/2020 21:15:54;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6445144;05/05/2020 21:15:54;IRP_MJ_WRITE;DOWN;;19 ;".";1;1;COM3;;
6445156;05/05/2020 21:15:54;IRP_MJ_WRITE;DOWN;;b8 ;"∏";1;1;COM3;;
6445168;05/05/2020 21:15:54;IRP_MJ_WRITE;DOWN;;01 ;".";1;1;COM3;;
6445180;05/05/2020 21:15:54;IRP_MJ_WRITE;DOWN;;2d ;"-";1;1;COM3;;
6445192;05/05/2020 21:15:54;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6445204;05/05/2020 21:15:54;IRP_MJ_WRITE;DOWN;;19 ;".";1;1;COM3;;
6445216;05/05/2020 21:15:54;IRP_MJ_WRITE;DOWN;;b8 ;"∏";1;1;COM3;;
6445228;05/05/2020 21:15:54;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6445239;05/05/2020 21:15:54;IRP_MJ_WRITE;DOWN;;2e ;".";1;1;COM3;;
6445286;05/05/2020 21:15:55;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6445298;05/05/2020 21:15:55;IRP_MJ_WRITE;DOWN;;19 ;".";1;1;COM3;;
6445310;05/05/2020 21:15:55;IRP_MJ_WRITE;DOWN;;b9 ;"π";1;1;COM3;;
6445322;05/05/2020 21:15:55;IRP_MJ_WRITE;DOWN;;01 ;".";1;1;COM3;;
6445334;05/05/2020 21:15:55;IRP_MJ_WRITE;DOWN;;2c ;",";1;1;COM3;;
6445346;05/05/2020 21:15:55;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6445355;05/05/2020 21:15:55;IRP_MJ_WRITE;DOWN;;19 ;".";1;1;COM3;;
6445367;05/05/2020 21:15:55;IRP_MJ_WRITE;DOWN;;b9 ;"π";1;1;COM3;;
6445379;05/05/2020 21:15:55;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6445391;05/05/2020 21:15:55;IRP_MJ_WRITE;DOWN;;2d ;"-";1;1;COM3;;
6445454;05/05/2020 21:15:57;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6445466;05/05/2020 21:15:57;IRP_MJ_WRITE;DOWN;;19 ;".";1;1;COM3;;
6445478;05/05/2020 21:15:57;IRP_MJ_WRITE;DOWN;;a9 ;"©";1;1;COM3;;
6445490;05/05/2020 21:15:57;IRP_MJ_WRITE;DOWN;;01 ;".";1;1;COM3;;
6445502;05/05/2020 21:15:57;IRP_MJ_WRITE;DOWN;;3c ;"<";1;1;COM3;;
6445514;05/05/2020 21:15:57;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6445526;05/05/2020 21:15:57;IRP_MJ_WRITE;DOWN;;19 ;".";1;1;COM3;;
6445538;05/05/2020 21:15:57;IRP_MJ_WRITE;DOWN;;a9 ;"©";1;1;COM3;;
6445549;05/05/2020 21:15:57;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6445562;05/05/2020 21:15:57;IRP_MJ_WRITE;DOWN;;3d ;"=";1;1;COM3;;
6446420;05/05/2020 21:16:57;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6446431;05/05/2020 21:16:57;IRP_MJ_WRITE;DOWN;;19 ;".";1;1;COM3;;
6446444;05/05/2020 21:16:57;IRP_MJ_WRITE;DOWN;;98 ;"ò";1;1;COM3;;
6446456;05/05/2020 21:16:57;IRP_MJ_WRITE;DOWN;;01 ;".";1;1;COM3;;
6446468;05/05/2020 21:16:57;IRP_MJ_WRITE;DOWN;;4d ;"M";1;1;COM3;;
6446480;05/05/2020 21:16:57;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6446492;05/05/2020 21:16:57;IRP_MJ_WRITE;DOWN;;19 ;".";1;1;COM3;;
6446504;05/05/2020 21:16:57;IRP_MJ_WRITE;DOWN;;98 ;"ò";1;1;COM3;;
6446516;05/05/2020 21:16:57;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6446528;05/05/2020 21:16:57;IRP_MJ_WRITE;DOWN;;4e ;"N";1;1;COM3;;
6446574;05/05/2020 21:16:58;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6446585;05/05/2020 21:16:58;IRP_MJ_WRITE;DOWN;;19 ;".";1;1;COM3;;
6446598;05/05/2020 21:16:58;IRP_MJ_WRITE;DOWN;;99 ;"ô";1;1;COM3;;
6446610;05/05/2020 21:16:58;IRP_MJ_WRITE;DOWN;;01 ;".";1;1;COM3;;
6446622;05/05/2020 21:16:58;IRP_MJ_WRITE;DOWN;;4c ;"L";1;1;COM3;;
6446634;05/05/2020 21:16:58;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6446643;05/05/2020 21:16:58;IRP_MJ_WRITE;DOWN;;19 ;".";1;1;COM3;;
6446658;05/05/2020 21:16:58;IRP_MJ_WRITE;DOWN;;99 ;"ô";1;1;COM3;;
6446670;05/05/2020 21:16:58;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6446682;05/05/2020 21:16:58;IRP_MJ_WRITE;DOWN;;4d ;"M";1;1;COM3;;
6446756;05/05/2020 21:17:00;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6446767;05/05/2020 21:17:00;IRP_MJ_WRITE;DOWN;;19 ;".";1;1;COM3;;
6446780;05/05/2020 21:17:00;IRP_MJ_WRITE;DOWN;;a8 ;"®";1;1;COM3;;
6446792;05/05/2020 21:17:00;IRP_MJ_WRITE;DOWN;;01 ;".";1;1;COM3;;
6446803;05/05/2020 21:17:00;IRP_MJ_WRITE;DOWN;;3d ;"=";1;1;COM3;;
6446816;05/05/2020 21:17:00;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6446827;05/05/2020 21:17:00;IRP_MJ_WRITE;DOWN;;19 ;".";1;1;COM3;;
6446839;05/05/2020 21:17:00;IRP_MJ_WRITE;DOWN;;a8 ;"®";1;1;COM3;;
6446852;05/05/2020 21:17:00;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6446864;05/05/2020 21:17:00;IRP_MJ_WRITE;DOWN;;3e ;">";1;1;COM3;;
6446908;05/05/2020 21:17:00;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6446919;05/05/2020 21:17:00;IRP_MJ_WRITE;DOWN;;92 ;"í";1;1;COM3;;
6446932;05/05/2020 21:17:00;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6446944;05/05/2020 21:17:00;IRP_MJ_WRITE;DOWN;;01 ;".";1;1;COM3;;
