#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
6656262;05/05/2020 21:17:51;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6656274;05/05/2020 21:17:51;IRP_MJ_WRITE;DOWN;;19 ;".";1;1;COM3;;
6656286;05/05/2020 21:17:51;IRP_MJ_WRITE;DOWN;;9b ;"›";1;1;COM3;;
6656298;05/05/2020 21:17:51;IRP_MJ_WRITE;DOWN;;01 ;".";1;1;COM3;;
6656310;05/05/2020 21:17:51;IRP_MJ_WRITE;DOWN;;4a ;"J";1;1;COM3;;
6656322;05/05/2020 21:17:51;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6656334;05/05/2020 21:17:51;IRP_MJ_WRITE;DOWN;;19 ;".";1;1;COM3;;
6656345;05/05/2020 21:17:51;IRP_MJ_WRITE;DOWN;;9b ;"›";1;1;COM3;;
6656358;05/05/2020 21:17:51;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6656370;05/05/2020 21:17:51;IRP_MJ_WRITE;DOWN;;4b ;"K";1;1;COM3;;
6656382;05/05/2020 21:17:51;IRP_MJ_WRITE;DOWN;;03 ;".";1;1;COM3;;
6656394;05/05/2020 21:17:51;IRP_MJ_WRITE;DOWN;;8e ;"Ž";1;1;COM3;;
6656406;05/05/2020 21:17:51;IRP_MJ_WRITE;DOWN;;32 ;"2";1;1;COM3;;
6656415;05/05/2020 21:17:51;IRP_MJ_WRITE;DOWN;;3f ;"?";1;1;COM3;;
6656576;05/05/2020 21:17:51;IRP_MJ_WRITE;DOWN;;03 ;".";1;1;COM3;;
6656588;05/05/2020 21:17:51;IRP_MJ_WRITE;DOWN;;8e ;"Ž";1;1;COM3;;
6656600;05/05/2020 21:17:51;IRP_MJ_WRITE;DOWN;;33 ;"3";1;1;COM3;;
6656612;05/05/2020 21:17:51;IRP_MJ_WRITE;DOWN;;3e ;">";1;1;COM3;;
6656758;05/05/2020 21:17:51;IRP_MJ_WRITE;DOWN;;03 ;".";1;1;COM3;;
6656769;05/05/2020 21:17:51;IRP_MJ_WRITE;DOWN;;87 ;"‡";1;1;COM3;;
6656782;05/05/2020 21:17:51;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6656794;05/05/2020 21:17:51;IRP_MJ_WRITE;DOWN;;78 ;"x";1;1;COM3;;
6656844;05/05/2020 21:17:53;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6656856;05/05/2020 21:17:53;IRP_MJ_WRITE;DOWN;;19 ;".";1;1;COM3;;
6656868;05/05/2020 21:17:53;IRP_MJ_WRITE;DOWN;;9b ;"›";1;1;COM3;;
